"DiseaseID","DiseaseName","Severity","Symptoms","Medication"
"73","Anaplasmosis","Highly Infectious","Back Pain","Acetaminophen"
"74","Anaplasmosis","High","Back Pain","Adderall"
"75","Actinomycosis","Medium","Rectal Pain","Adderall"
"76","Amebiasis	","Highly Infectious","Abdominal pain","Adderall"
"77","Anisakiasis","High","Abdominal pain","Acetaminophen"
"78","Anaplasmosis","Medium","Abdominal pain","Alprazolam"
"79","Amebiasis	","Low","ToothAche","Alprazolam"
"80","Anisakiasis","Medium","Back Pain","Adderall"
"81","Amebiasis	","Highly Infectious","ToothAche","Adderall"
"82","Anisakiasis","High","Headache","Ativan"
"83","Anisakiasis","Low","ToothAche","Alprazolam"
"84","Angiostrongyliasis","Medium","ToothAche","Alprazolam"
"85","Anisakiasis","Highly Infectious","Chest pain","Acetaminophen"
"86","Anaplasmosis","High","Chest pain","Adderall"
"87","Amebiasis	","Medium","Back Pain","Acetaminophen"
"88","Anisakiasis","Highly Infectious","Rectal Pain","Acetaminophen"
"89","Amebiasis	","High","ToothAche","Adderall"
"90","Actinomycosis","High","Headache","Alprazolam"
"91","Anisakiasis","Low","Back Pain","Alprazolam"
"92","Angiostrongyliasis","Low","Rectal Pain","Ativan"
"93","Anisakiasis","Low","Headache","Acetaminophen"
"94","Anisakiasis","Medium","Rectal Pain","Alprazolam"
"95","Actinomycosis","Low","Abdominal pain","Acetaminophen"
"96","Anisakiasis","Highly Infectious","Chest pain","Acetaminophen"
"97","Angiostrongyliasis","Low","Chest pain","Ativan"
"98","Anaplasmosis","High","Back Pain","Adderall"
"99","Angiostrongyliasis","High","Rectal Pain","Alprazolam"
"100","Angiostrongyliasis","Highly Infectious","Abdominal pain","Acetaminophen"
